iter	Passed	Remaining
719	5405	2102
720	5412	2094
721	5419	2086
722	5426	2078
723	5432	2070
724	5438	2062
725	5445	2055
726	5452	2047
727	5459	2039
728	5466	2032
729	5474	2024
730	5482	2017
731	5489	2009
732	5496	2002
733	5503	1994
734	5510	1986
735	5518	1979
736	5525	1971
737	5533	1964
738	5540	1956
739	5546	1948
740	5554	1941
741	5561	1933
742	5568	1926
743	5575	1918
744	5582	1910
745	5589	1903
746	5597	1895
747	5604	1888
748	5610	1880
749	5616	1872
750	5624	1864
751	5630	1856
752	5636	1848
753	5643	1841
754	5649	1833
755	5658	1826
756	5665	1818
757	5672	1811
758	5680	1803
759	5688	1796
760	5696	1788
761	5704	1781
762	5711	1774
763	5718	1766
764	5725	1758
765	5731	1750
766	5739	1743
767	5746	1736
768	5755	1728
769	5764	1721
770	5771	1714
771	5778	1706
772	5784	1698
773	5790	1690
774	5796	1682
775	5804	1675
776	5810	1667
777	5818	1660
778	5825	1652
779	5832	1645
780	5840	1637
781	5847	1630
782	5854	1622
783	5862	1615
784	5870	1607
785	5877	1600
786	5885	1592
787	5891	1585
788	5900	1577
789	5908	1570
790	5916	1563
791	5922	1555
792	5931	1548
793	5941	1541
794	5951	1534
795	5959	1527
796	5968	1520
797	5976	1512
798	5985	1505
799	5993	1498
800	6001	1490
801	6008	1483
802	6015	1475
803	6023	1468
804	6031	1460
805	6037	1453
806	6045	1445
807	6051	1438
808	6058	1430
809	6066	1422
810	6073	1415
811	6080	1407
812	6086	1400
813	6093	1392
814	6098	1384
815	6104	1376
816	6111	1368
817	6117	1361
818	6123	1353
819	6130	1345
820	6137	1338
821	6145	1330
822	6153	1323
823	6161	1315
824	6167	1308
825	6176	1301
826	6183	1293
827	6192	1286
828	6199	1278
829	6207	1271
830	6214	1263
831	6223	1256
832	6231	1249
833	6241	1242
834	6250	1235
835	6260	1228
836	6267	1220
837	6274	1213
838	6281	1205
839	6289	1198
840	6296	1190
841	6304	1182
842	6311	1175
843	6318	1167
844	6325	1160
845	6331	1152
846	6339	1145
847	6345	1137
848	6352	1129
849	6358	1122
850	6365	1114
851	6372	1106
852	6378	1099
853	6386	1091
854	6393	1084
855	6400	1076
856	6407	1069
857	6417	1062
858	6424	1054
859	6431	1047
860	6438	1039
861	6446	1031
862	6453	1024
863	6460	1016
864	6468	1009
865	6475	1001
866	6483	994
867	6491	987
868	6500	979
869	6507	972
870	6514	964
871	6522	957
872	6529	949
873	6536	942
874	6543	934
875	6551	927
876	6558	919
877	6566	912
878	6572	904
879	6578	897
880	6584	889
881	6590	881
882	6597	874
883	6602	866
884	6610	858
885	6616	851
886	6623	843
887	6629	836
888	6636	828
889	6643	821
890	6649	813
891	6655	805
892	6662	798
893	6668	790
894	6675	783
895	6681	775
896	6687	767
897	6695	760
898	6701	752
899	6708	745
900	6715	737
901	6722	730
902	6729	722
903	6736	715
904	6743	707
905	6750	700
906	6757	692
907	6763	685
908	6769	677
909	6775	670
910	6781	662
911	6787	654
912	6793	647
913	6799	639
914	6806	632
915	6814	624
916	6821	617
917	6828	609
918	6834	602
919	6841	594
920	6847	587
921	6854	579
922	6860	572
923	6866	564
924	6873	557
925	6879	549
926	6885	542
927	6892	534
928	6898	527
929	6904	519
930	6911	512
931	6920	504
932	6926	497
933	6934	490
934	6943	482
935	6952	475
936	6961	468
937	6968	460
938	6976	453
939	6984	445
940	6992	438
941	6999	430
942	7007	423
943	7015	416
944	7023	408
945	7030	401
946	7037	393
947	7044	386
948	7051	378
949	7058	371
950	7066	364
951	7073	356
952	7080	349
953	7087	341
954	7093	334
955	7099	326
956	7106	319
957	7113	311
958	7119	304
959	7126	296
960	7133	289
961	7139	282
962	7145	274
963	7151	267
964	7157	259
965	7163	252
966	7169	244
967	7175	237
968	7181	229
969	7187	222
970	7193	214
971	7199	207
972	7204	199
973	7211	192
974	7218	185
975	7225	177
976	7232	170
977	7238	162
978	7245	155
979	7252	148
980	7259	140
981	7265	133
982	7272	125
983	7279	118
984	7285	110
985	7292	103
986	7298	96
987	7304	88
988	7311	81
989	7317	73
990	7325	66
991	7332	59
992	7340	51
993	7348	44
994	7356	36
995	7364	29
996	7374	22
997	7382	14
998	7390	7
999	7399	0
